scenario,node,lon,lat
OSM_LARGE,0,-3.197666,55.944886
OSM_LARGE,1,-3.197662,55.944841
OSM_LARGE,2,-3.19765,55.944792
OSM_LARGE,3,-3.197622,55.946885
OSM_LARGE,4,-3.197601,55.944673
OSM_LARGE,5,-3.197513,55.943929
OSM_LARGE,6,-3.197513,55.943967
OSM_LARGE,7,-3.197505,55.943887
OSM_LARGE,8,-3.197498,55.944058
OSM_LARGE,9,-3.197493,55.943855
OSM_LARGE,10,-3.197486,55.945768
OSM_LARGE,11,-3.197482,55.94578
OSM_LARGE,12,-3.19748,55.94382
OSM_LARGE,13,-3.197479,55.94412
OSM_LARGE,14,-3.197474,55.945788
OSM_LARGE,15,-3.197465,55.944376
OSM_LARGE,16,-3.197465,55.945794
OSM_LARGE,17,-3.197464,55.944171
OSM_LARGE,18,-3.19746,55.946938
OSM_LARGE,19,-3.197456,55.945218
OSM_LARGE,20,-3.197453,55.945799
OSM_LARGE,21,-3.197452,55.944312
OSM_LARGE,22,-3.197449,55.944243
OSM_LARGE,23,-3.197446,55.945011
OSM_LARGE,24,-3.197438,55.944887
OSM_LARGE,25,-3.197438,55.945803
OSM_LARGE,26,-3.197418,55.945805
OSM_LARGE,27,-3.197395,55.945808
OSM_LARGE,28,-3.197388,55.946961
OSM_LARGE,29,-3.197385,55.94396
OSM_LARGE,30,-3.197361,55.943896
OSM_LARGE,31,-3.197348,55.943571
OSM_LARGE,32,-3.197321,55.943957
OSM_LARGE,33,-3.197313,55.946983
OSM_LARGE,34,-3.197292,55.944888
OSM_LARGE,35,-3.197235,55.943956
OSM_LARGE,36,-3.197232,55.944888
OSM_LARGE,37,-3.197186,55.943954
OSM_LARGE,38,-3.197178,55.943239
OSM_LARGE,39,-3.197075,55.947055
OSM_LARGE,40,-3.197072,55.944889
OSM_LARGE,41,-3.197053,55.943248
OSM_LARGE,42,-3.197051,55.945822
OSM_LARGE,43,-3.197011,55.944795
OSM_LARGE,44,-3.197008,55.946989
OSM_LARGE,45,-3.196969,55.946163
OSM_LARGE,46,-3.196968,55.943254
OSM_LARGE,47,-3.196964,55.944767
OSM_LARGE,48,-3.19691,55.944755
OSM_LARGE,49,-3.196892,55.946155
OSM_LARGE,50,-3.196861,55.946838
OSM_LARGE,51,-3.196849,55.95187
OSM_LARGE,52,-3.196849,55.951895
OSM_LARGE,53,-3.196844,55.951913
OSM_LARGE,54,-3.196836,55.951842
OSM_LARGE,55,-3.19683,55.942574
OSM_LARGE,56,-3.196824,55.946801
OSM_LARGE,57,-3.196823,55.951938
OSM_LARGE,58,-3.196822,55.951814
OSM_LARGE,59,-3.196818,55.946146
OSM_LARGE,60,-3.196814,55.943265
OSM_LARGE,61,-3.196801,55.946778
OSM_LARGE,62,-3.196784,55.951735
OSM_LARGE,63,-3.196767,55.946757
OSM_LARGE,64,-3.196755,55.946129
OSM_LARGE,65,-3.196751,55.947153
OSM_LARGE,66,-3.19674,55.946745
OSM_LARGE,67,-3.196709,55.946734
OSM_LARGE,68,-3.1967,55.946106
OSM_LARGE,69,-3.196687,55.943366
OSM_LARGE,70,-3.196681,55.946727
OSM_LARGE,71,-3.196669,55.943275
OSM_LARGE,72,-3.19666,55.94935
OSM_LARGE,73,-3.196652,55.944771
OSM_LARGE,74,-3.196652,55.946722
OSM_LARGE,75,-3.196616,55.943998
OSM_LARGE,76,-3.196612,55.949271
OSM_LARGE,77,-3.196609,55.946718
OSM_LARGE,78,-3.196572,55.946718
OSM_LARGE,79,-3.196571,55.944786
OSM_LARGE,80,-3.196539,55.946722
OSM_LARGE,81,-3.196531,55.944801
OSM_LARGE,82,-3.196505,55.944827
OSM_LARGE,83,-3.196505,55.946002
OSM_LARGE,84,-3.196488,55.944892
OSM_LARGE,85,-3.196488,55.951259
OSM_LARGE,86,-3.196474,55.946741
OSM_LARGE,87,-3.196463,55.947241
OSM_LARGE,88,-3.196431,55.943953
OSM_LARGE,89,-3.196428,55.951158
OSM_LARGE,90,-3.196368,55.947268
OSM_LARGE,91,-3.196318,55.94396
OSM_LARGE,92,-3.196318,55.947201
OSM_LARGE,93,-3.196312,55.94393
OSM_LARGE,94,-3.196306,55.943905
OSM_LARGE,95,-3.196289,55.94382
OSM_LARGE,96,-3.196258,55.945847
OSM_LARGE,97,-3.196222,55.943821
OSM_LARGE,98,-3.196209,55.947053
