scenario,u,v,distance_m,speed_mps,congest_base
OSM_MEDIUM,0,2,40.39700600436729,13.677046283714242,0.1666666666111111
OSM_MEDIUM,1,3,4.980557857586286,11.149058923521268,0.1666666666111111
OSM_MEDIUM,2,7,20.579401118430102,10.065151867604836,0.3333333332222222
OSM_MEDIUM,3,4,2.74016064915135,10.01236647683973,0.3333333332222222
OSM_MEDIUM,4,5,2.325334198982847,10.237898536037232,0.3333333332222222
OSM_MEDIUM,5,6,6.848449388118547,8.186454204422429,0.4999999998333333
OSM_MEDIUM,6,9,10.28391062864146,9.035149041818242,0.4999999998333333
OSM_MEDIUM,6,8,7.203922517393237,10.273653190887842,0.4999999998333333
OSM_MEDIUM,7,14,19.944422928358357,11.989661551390496,0.3333333332222222
OSM_MEDIUM,8,11,6.129425863615508,12.202728068507676,0.3333333332222222
OSM_MEDIUM,9,10,3.0939537888501634,10.245950109011336,0.3333333332222222
OSM_MEDIUM,10,12,3.858437904531472,10.023071215085487,0.3333333332222222
OSM_MEDIUM,11,13,12.994099688487436,9.913933882485921,0.3333333332222222
OSM_MEDIUM,12,15,15.488263733095662,10.345675767010222,0.3333333332222222
OSM_MEDIUM,13,19,24.200012204659554,11.477227199236026,0.3333333332222222
OSM_MEDIUM,14,37,55.40156314352886,10.152823748979312,0.3333333332222222
OSM_MEDIUM,15,20,16.662308855195246,9.659394210327537,0.4999999998333333
OSM_MEDIUM,16,17,7.058069240802753,12.94635228418065,0.1666666666111111
OSM_MEDIUM,17,18,30.95017866442866,11.692927581023177,0.3333333332222222
OSM_MEDIUM,18,20,4.324827029777787,10.290668401748645,0.4999999998333333
OSM_MEDIUM,19,27,28.628337367774876,9.265297728645452,0.4999999998333333
OSM_MEDIUM,20,24,16.291025631672436,8.91904697470628,0.4999999998333333
OSM_MEDIUM,21,22,10.191317444247767,11.211060514259918,0.1666666666111111
OSM_MEDIUM,22,23,3.3892434568297607,10.119622762216228,0.3333333332222222
OSM_MEDIUM,23,25,58.53649131829948,10.733517034855742,0.3333333332222222
OSM_MEDIUM,24,34,20.624285049464817,9.038095018185793,0.4999999998333333
OSM_MEDIUM,25,26,3.2027533156987933,12.337676352894384,0.3333333332222222
OSM_MEDIUM,26,30,13.041655873022515,11.934152350570596,0.3333333332222222
OSM_MEDIUM,27,36,13.049369342839782,10.296740089615989,0.4999999998333333
OSM_MEDIUM,27,28,3.5010859791735314,10.49259321252271,0.4999999998333333
OSM_MEDIUM,28,31,4.244070834407219,10.0026408219342,0.3333333332222222
OSM_MEDIUM,29,33,17.644863554010808,10.79003519136623,0.1666666666111111
OSM_MEDIUM,30,39,38.09170059315247,9.517711057281549,0.3333333332222222
OSM_MEDIUM,31,32,3.932764049720861,10.426571442867997,0.3333333332222222
OSM_MEDIUM,32,35,4.072428240326402,10.955075190002786,0.3333333332222222
OSM_MEDIUM,33,34,4.163515958125337,9.65877335103143,0.4999999998333333
OSM_MEDIUM,34,57,32.57503137580316,10.483332794305777,0.4999999998333333
OSM_MEDIUM,35,38,4.4402125367718295,12.008669593582482,0.3333333332222222
OSM_MEDIUM,36,44,18.063041034612002,10.75233432387642,0.3333333332222222
OSM_MEDIUM,37,56,29.875727630957872,8.313418001110964,0.4999999998333333
OSM_MEDIUM,38,89,58.739266915162375,10.237769529190441,0.3333333332222222
OSM_MEDIUM,39,40,11.837684010148356,9.543791474933766,0.3333333332222222
OSM_MEDIUM,40,42,12.677244406357818,12.080782721392985,0.3333333332222222
OSM_MEDIUM,41,43,3.6507156081464442,11.348293079381548,0.1666666666111111
OSM_MEDIUM,42,47,15.224299588025747,11.623124084701166,0.3333333332222222
OSM_MEDIUM,43,46,3.8498295297694933,10.359878353866948,0.3333333332222222
OSM_MEDIUM,44,45,2.1586819111358504,10.815873724300102,0.3333333332222222
OSM_MEDIUM,45,48,1.7799370188324033,10.905675151917112,0.3333333332222222
OSM_MEDIUM,46,51,4.649892984578408,9.567440487704788,0.3333333332222222
OSM_MEDIUM,47,50,5.7939600449431925,10.822819428051288,0.3333333332222222
OSM_MEDIUM,48,49,1.6339800197027277,11.26618742627383,0.3333333332222222
OSM_MEDIUM,49,75,54.33677687100982,10.08852162032163,0.3333333332222222
OSM_MEDIUM,50,53,25.086298341305426,11.94379497275003,0.3333333332222222
OSM_MEDIUM,51,52,4.9365428622229635,11.595559232237862,0.3333333332222222
OSM_MEDIUM,52,54,2.4974949741263024,9.282912034658072,0.4999999998333333
OSM_MEDIUM,53,58,11.037001894984364,10.306754536141312,0.3333333332222222
OSM_MEDIUM,54,59,2.2422739023177267,10.802553895679992,0.4999999998333333
OSM_MEDIUM,54,55,2.98317084891337,11.52311337874691,0.3333333332222222
OSM_MEDIUM,56,69,14.138564186570314,9.488737286312862,0.4999999998333333
OSM_MEDIUM,56,96,32.732714516512296,9.674729886128956,0.4999999998333333
OSM_MEDIUM,57,63,6.974030234724767,10.265364233992464,0.3333333332222222
OSM_MEDIUM,58,79,65.64414198067752,9.395781753955852,0.4999999998333333
OSM_MEDIUM,59,65,5.524134395773301,7.646371383891412,0.6666666664444444
OSM_MEDIUM,60,61,3.041044145483207,13.657780467115083,0.1666666666111111
OSM_MEDIUM,61,62,2.47163305692948,11.06439536583643,0.3333333332222222
OSM_MEDIUM,62,67,4.112604369491845,11.047991340636322,0.3333333332222222
OSM_MEDIUM,63,70,6.889079711983806,9.997021709316193,0.3333333332222222
OSM_MEDIUM,64,65,3.084351121874884,9.326608968707266,0.4999999998333333
OSM_MEDIUM,65,68,3.5493322038987323,8.403779191659327,0.6666666664444444
OSM_MEDIUM,65,66,3.2255184303800366,9.453621973575766,0.4999999998333333
OSM_MEDIUM,67,73,9.377626974761315,10.936905282490091,0.3333333332222222
OSM_MEDIUM,68,71,3.965764269096205,11.11630862981772,0.3333333332222222
OSM_MEDIUM,69,74,4.9644525645370585,12.369330164945227,0.3333333332222222
OSM_MEDIUM,70,72,3.5114616687635767,10.992117236484898,0.3333333332222222
OSM_MEDIUM,71,81,7.584726086207623,10.249987963634448,0.3333333332222222
