scenario,node,lon,lat
OSM_MEDIUM,0,-3.194251,55.944969
OSM_MEDIUM,1,-3.193645,55.947816
OSM_MEDIUM,2,-3.193617,55.945046
OSM_MEDIUM,3,-3.193565,55.947819
OSM_MEDIUM,4,-3.193521,55.947821
OSM_MEDIUM,5,-3.193484,55.947823
OSM_MEDIUM,6,-3.193377,55.947838
OSM_MEDIUM,7,-3.193294,55.945085
OSM_MEDIUM,8,-3.193282,55.947801
OSM_MEDIUM,9,-3.193254,55.9479
OSM_MEDIUM,10,-3.193215,55.947917
OSM_MEDIUM,11,-3.193206,55.947766
OSM_MEDIUM,12,-3.193158,55.947931
OSM_MEDIUM,13,-3.193027,55.947706
OSM_MEDIUM,14,-3.192979,55.945118
OSM_MEDIUM,15,-3.19293,55.947987
OSM_MEDIUM,16,-3.192911,55.948404
OSM_MEDIUM,17,-3.192872,55.948345
OSM_MEDIUM,18,-3.192707,55.948082
OSM_MEDIUM,19,-3.192696,55.947592
OSM_MEDIUM,20,-3.192684,55.948045
OSM_MEDIUM,21,-3.192678,55.949427
OSM_MEDIUM,22,-3.192628,55.94934
OSM_MEDIUM,23,-3.192611,55.949311
OSM_MEDIUM,24,-3.192445,55.948105
OSM_MEDIUM,25,-3.192312,55.948812
OSM_MEDIUM,26,-3.192295,55.948785
OSM_MEDIUM,27,-3.192292,55.947469
OSM_MEDIUM,28,-3.192265,55.947497
OSM_MEDIUM,29,-3.192242,55.94835
OSM_MEDIUM,30,-3.192229,55.948674
OSM_MEDIUM,31,-3.192225,55.947528
OSM_MEDIUM,32,-3.19218,55.947553
OSM_MEDIUM,33,-3.192153,55.948199
OSM_MEDIUM,34,-3.192131,55.948164
OSM_MEDIUM,35,-3.192126,55.947573
OSM_MEDIUM,36,-3.192109,55.947412
OSM_MEDIUM,37,-3.192105,55.94521
OSM_MEDIUM,38,-3.192062,55.947591
OSM_MEDIUM,39,-3.192034,55.948349
OSM_MEDIUM,40,-3.191974,55.948248
OSM_MEDIUM,41,-3.191944,55.946051
OSM_MEDIUM,42,-3.191909,55.94814
OSM_MEDIUM,43,-3.191891,55.946037
