scenario,node,lon,lat
OSM_SMALL,0,-3.193377,55.947838
OSM_SMALL,1,-3.193282,55.947801
OSM_SMALL,2,-3.193206,55.947766
OSM_SMALL,3,-3.193027,55.947706
OSM_SMALL,4,-3.192696,55.947592
OSM_SMALL,5,-3.192292,55.947469
OSM_SMALL,6,-3.192265,55.947497
OSM_SMALL,7,-3.192225,55.947528
OSM_SMALL,8,-3.19218,55.947553
OSM_SMALL,9,-3.192126,55.947573
OSM_SMALL,10,-3.192109,55.947412
OSM_SMALL,11,-3.192062,55.947591
OSM_SMALL,12,-3.191944,55.946051
OSM_SMALL,13,-3.191891,55.946037
OSM_SMALL,14,-3.191873,55.947318
OSM_SMALL,15,-3.191845,55.947306
OSM_SMALL,16,-3.191832,55.946028
OSM_SMALL,17,-3.191824,55.947295
OSM_SMALL,18,-3.191806,55.947284
OSM_SMALL,19,-3.191758,55.946023
OSM_SMALL,20,-3.191679,55.94602
OSM_SMALL,21,-3.191638,55.94602
OSM_SMALL,22,-3.191634,55.945262
OSM_SMALL,23,-3.191617,55.947653
OSM_SMALL,24,-3.191603,55.946019
OSM_SMALL,25,-3.191581,55.946654
OSM_SMALL,26,-3.191561,55.946679
OSM_SMALL,27,-3.191552,55.946701
OSM_SMALL,28,-3.191514,55.94602
OSM_SMALL,29,-3.191494,55.946719
OSM_SMALL,30,-3.191457,55.94602
OSM_SMALL,31,-3.191428,55.945316
OSM_SMALL,32,-3.191393,55.946018
OSM_SMALL,33,-3.191364,55.946761
OSM_SMALL,34,-3.191361,55.945339
OSM_SMALL,35,-3.191342,55.946871
OSM_SMALL,36,-3.191316,55.94536
OSM_SMALL,37,-3.191315,55.94685
OSM_SMALL,38,-3.191286,55.946836
OSM_SMALL,39,-3.191283,55.947093
OSM_SMALL,40,-3.191279,55.945379
OSM_SMALL,41,-3.191272,55.946013
OSM_SMALL,42,-3.191258,55.946834
OSM_SMALL,43,-3.191253,55.945402
OSM_SMALL,44,-3.191231,55.945437
OSM_SMALL,45,-3.19123,55.946837
OSM_SMALL,46,-3.191212,55.945473
OSM_SMALL,47,-3.191203,55.946842
OSM_SMALL,48,-3.19119,55.945524
OSM_SMALL,49,-3.191186,55.947787
