node_id,lon,lat
0,-3.1976500,55.9447920
1,-3.1975560,55.9447930
2,-3.1972900,55.9447940
3,-3.1971450,55.9447950
4,-3.1970110,55.9447950
5,-3.1965050,55.9448270
6,-3.1963330,55.9448320
7,-3.1960590,55.9448400
8,-3.1951350,55.9448470
9,-3.1951020,55.9449750
10,-3.1949960,55.9448470
11,-3.1949480,55.9449680
12,-3.1948230,55.9449740
13,-3.1946950,55.9448760
14,-3.1942410,55.9449260
15,-3.1936630,55.9451000
16,-3.1933770,55.9478380
17,-3.1933110,55.9451390
18,-3.1932820,55.9478010
19,-3.1932770,55.9450330
20,-3.1932060,55.9477660
21,-3.1930270,55.9477060
22,-3.1929610,55.9450680
23,-3.1926960,55.9475920
24,-3.1926780,55.9461200
25,-3.1922920,55.9474690
26,-3.1922650,55.9474970
27,-3.1922250,55.9475280
28,-3.1921800,55.9475530
29,-3.1921260,55.9475730
30,-3.1921090,55.9474120
31,-3.1920620,55.9475910
32,-3.1919440,55.9460510
33,-3.1918910,55.9460370
34,-3.1918730,55.9473180
35,-3.1918450,55.9473060
36,-3.1918320,55.9460280
37,-3.1918240,55.9472950
38,-3.1918060,55.9472840
39,-3.1917580,55.9452050
40,-3.1917580,55.9460230
41,-3.1916940,55.9448710
42,-3.1916940,55.9452120
43,-3.1916790,55.9460200
44,-3.1916380,55.9460200
45,-3.1916340,55.9452620
46,-3.1916170,55.9476530
47,-3.1916030,55.9460190
48,-3.1915810,55.9466540
49,-3.1915680,55.9448880
50,-3.1915610,55.9466790
51,-3.1915520,55.9467010
52,-3.1915440,55.9453350
53,-3.1915140,55.9460200
54,-3.1914940,55.9467190
55,-3.1914570,55.9460200
56,-3.1914350,55.9453670
57,-3.1914280,55.9453160
58,-3.1914220,55.9426000
59,-3.1913930,55.9460180
60,-3.1913640,55.9467610
61,-3.1913610,55.9453390
62,-3.1913530,55.9453970
63,-3.1913440,55.9435730
64,-3.1913420,55.9468710
65,-3.1913250,55.9454180
66,-3.1913160,55.9453600
67,-3.1913150,55.9468500
68,-3.1913140,55.9439470
69,-3.1913090,55.9454130
70,-3.1912950,55.9441950
71,-3.1912860,55.9468360
72,-3.1912830,55.9470930
73,-3.1912790,55.9453790
74,-3.1912770,55.9464470
75,-3.1912720,55.9460130
76,-3.1912610,55.9446270
77,-3.1912580,55.9468340
78,-3.1912530,55.9454020
79,-3.1912420,55.9453990
80,-3.1912410,55.9449000
81,-3.1912320,55.9449930
82,-3.1912310,55.9454370
83,-3.1912300,55.9468370
84,-3.1912270,55.9478470
85,-3.1912120,55.9454730
86,-3.1912100,55.9452430
87,-3.1912030,55.9468420
88,-3.1911970,55.9452690
