tid,spawn_time,node_id,lon,lat,weight,deadline,status,assigned_vehicle,finish_time,travel_distance_m
0,4.000,424,-3.1877790,55.9449950,49.2352,311.868,DONE,0,37.500,333.359
1,5.000,232,-3.1896510,55.9472490,63.9794,211.686,DONE,1,39.000,325.817
2,10.000,551,-3.1867740,55.9453710,68.9561,171.110,DONE,2,32.500,240.067
3,14.000,385,-3.1879550,55.9468460,63.6914,268.151,DONE,3,24.500,109.955
4,15.000,130,-3.1909390,55.9466500,15.1566,169.366,DONE,4,34.000,193.614
5,17.000,373,-3.1880000,55.9465060,28.6254,266.946,DONE,5,27.500,110.345
6,26.000,489,-3.1872450,55.9452420,8.8291,231.892,DONE,6,53.500,274.449
7,28.500,196,-3.1900910,55.9451510,51.6489,217.412,DONE,7,48.500,197.114
8,31.500,275,-3.1890800,55.9473740,23.8663,271.202,DONE,8,64.500,312.781
9,32.000,446,-3.1876980,55.9452840,34.1155,204.142,DONE,9,61.500,289.863
10,34.500,277,-3.1890200,55.9459970,19.1626,339.162,DONE,3,46.000,109.553
11,37.500,181,-3.1902710,55.9451600,33.5212,209.092,DONE,5,57.000,185.437
12,39.500,20,-3.1932060,55.9477660,8.1870,247.498,DONE,4,102.000,240.762
13,40.500,422,-3.1877860,55.9463160,51.3699,291.526,DONE,4,147.500,2.530
14,43.000,136,-3.1908670,55.9464330,8.2452,185.689,DONE,4,80.500,116.360
15,43.500,253,-3.1893930,55.9458870,66.5599,351.911,DONE,4,69.000,102.358
16,48.000,329,-3.1883420,55.9465800,39.3527,309.231,DONE,4,58.500,51.967
17,49.000,412,-3.1878190,55.9463300,22.9954,306.742,DONE,4,147.000,483.706
18,53.500,375,-3.1879950,55.9464050,13.4333,350.330,DONE,2,71.000,171.426
19,59.000,336,-3.1882980,55.9450740,32.5994,309.125,DONE,3,92.000,328.589
20,61.000,525,-3.1869360,55.9453310,17.8764,233.386,DONE,7,136.000,453.741
21,64.000,97,-3.1911340,55.9468610,40.5450,375.998,DONE,7,90.500,220.103
22,69.500,142,-3.1907410,55.9474550,56.3714,232.411,DONE,0,104.000,324.464
23,72.000,401,-3.1878720,55.9474820,9.5173,242.271,DONE,1,92.500,200.994
24,77.000,560,-3.1867170,55.9473380,58.4857,301.534,DONE,5,100.000,232.957
25,78.000,470,-3.1875760,55.9464750,29.5825,375.060,DONE,6,91.000,107.496
26,79.500,234,-3.1896070,55.9447070,61.0756,411.375,DONE,6,126.000,343.090
27,81.500,582,-3.1865210,55.9450150,49.5867,272.791,DONE,2,170.500,519.453
28,83.000,36,-3.1918320,55.9460280,67.6950,223.604,DONE,2,119.000,119.253
29,84.000,73,-3.1912790,55.9453790,42.5650,255.052,DONE,2,107.500,210.054
30,88.500,314,-3.1884730,55.9461930,54.6653,240.851,DONE,9,107.000,159.045
31,100.000,188,-3.1901600,55.9450750,9.2889,320.903,DONE,8,120.000,192.648
32,106.000,432,-3.1877410,55.9468490,67.1279,316.835,DONE,1,132.500,165.128
33,106.500,420,-3.1877980,55.9446590,16.7743,310.795,DONE,1,209.500,112.545
34,107.000,421,-3.1877880,55.9454230,46.7710,253.403,DONE,1,198.500,415.630
35,110.000,279,-3.1889780,55.9474840,13.0335,358.677,DONE,5,234.500,261.990
36,110.500,310,-3.1884930,55.9465090,30.4532,397.637,DONE,1,116.500,39.689
37,112.000,240,-3.1895260,55.9479320,58.3562,329.285,DONE,1,154.500,218.354
