tid,spawn_time,node_id,lon,lat,weight,deadline,status,assigned_vehicle,finish_time,travel_distance_m
0,0.000,29,-3.1921260,55.9475730,46.6443,185.948,DONE,0,34.500,342.137
1,1.000,233,-3.1896170,55.9456110,52.8076,373.281,DONE,1,11.000,104.657
2,4.500,354,-3.1881650,55.9465490,12.6704,194.095,DONE,2,20.000,172.889
3,11.000,328,-3.1883550,55.9468730,18.4084,382.275,DONE,3,17.500,77.511
4,12.500,499,-3.1871650,55.9459250,46.8868,237.023,DONE,4,29.000,173.878
5,13.000,94,-3.1911550,55.9453780,43.6635,173.294,DONE,5,33.000,200.384
6,16.500,527,-3.1869200,55.9447010,43.4909,214.950,DONE,6,49.500,339.210
7,18.000,554,-3.1867540,55.9475850,27.6726,354.435,DONE,7,45.000,263.592
8,21.500,65,-3.1913250,55.9454180,34.4204,186.891,DONE,1,42.500,211.881
9,23.500,431,-3.1877450,55.9472110,31.2547,293.845,DONE,3,40.500,169.562
10,27.000,303,-3.1885580,55.9477130,8.7393,346.778,DONE,2,57.500,220.142
11,36.000,161,-3.1906250,55.9476060,54.9492,367.768,DONE,4,135.000,540.630
12,37.500,384,-3.1879580,55.9449560,28.8881,340.301,DONE,4,81.500,312.056
13,40.500,306,-3.1885450,55.9464690,39.5534,406.631,DONE,4,49.000,34.229
14,49.500,355,-3.1881570,55.9466230,42.8161,368.597,DONE,5,59.000,64.506
15,50.500,287,-3.1888090,55.9475050,44.3712,212.748,DONE,5,97.000,390.732
16,54.000,269,-3.1892190,55.9459520,8.3305,233.592,DONE,3,62.000,49.828
17,54.500,431,-3.1877450,55.9472110,53.5510,379.509,DONE,3,113.000,356.113
18,55.500,132,-3.1909360,55.9463830,30.9962,344.065,DONE,3,77.000,136.724
19,56.000,553,-3.1867640,55.9447970,21.2225,405.939,DONE,3,148.500,334.435
20,71.500,414,-3.1878120,55.9450570,23.0932,371.203,DONE,0,105.000,326.091
21,73.500,545,-3.1868190,55.9476480,27.8507,280.542,DONE,1,101.000,269.775
22,74.000,516,-3.1870270,55.9454440,48.9396,237.780,DONE,7,97.000,238.147
