tid,spawn_time,node_id,lon,lat,weight,deadline,status,assigned_vehicle,finish_time,travel_distance_m
0,3.500,380,-3.1879710,55.9464080,38.9903,229.945,DONE,0,19.500,169.857
1,6.500,262,-3.1893090,55.9473900,33.0466,281.483,DONE,1,37.000,293.303
2,10.500,316,-3.1884610,55.9450850,14.9536,236.477,DONE,2,42.000,325.889
3,12.000,303,-3.1885580,55.9477130,29.2552,314.792,DONE,3,34.500,220.142
4,14.000,344,-3.1882540,55.9465270,39.1706,318.518,DONE,4,30.000,178.946
5,14.500,144,-3.1907270,55.9451940,16.2142,266.990,DONE,5,34.000,201.203
6,15.500,524,-3.1869520,55.9472970,6.7616,360.449,DONE,0,138.000,411.599
7,23.500,466,-3.1875880,55.9464100,36.3682,378.438,DONE,0,60.000,123.961
8,26.000,277,-3.1890200,55.9459970,17.7698,291.670,DONE,0,48.500,44.264
9,27.000,191,-3.1901440,55.9450520,13.2671,229.068,DONE,0,98.000,102.204
10,30.500,126,-3.1909570,55.9452900,13.3136,370.428,DONE,0,86.500,275.021
11,31.500,248,-3.1894500,55.9456810,13.9047,345.105,DONE,0,44.500,91.576
12,38.500,414,-3.1878120,55.9450570,33.7671,354.433,DONE,4,125.500,410.284
13,40.000,263,-3.1892840,55.9459140,33.9441,383.941,DONE,4,51.500,55.748
14,44.000,295,-3.1886730,55.9480290,27.0554,341.349,DONE,4,82.500,310.491
15,48.500,436,-3.1877340,55.9453550,24.4557,269.762,DONE,5,81.000,87.222
16,51.000,312,-3.1884870,55.9477400,27.8965,337.977,DONE,5,116.500,331.635
17,52.000,515,-3.1870370,55.9457490,13.2090,258.346,DONE,5,72.000,195.041
18,77.500,396,-3.1878900,55.9466230,7.7424,420.123,DONE,1,85.000,81.192
19,79.000,485,-3.1873640,55.9451730,7.7467,406.339,DONE,2,107.000,288.937
20,79.500,523,-3.1869520,55.9462580,26.9847,410.051,DONE,3,97.500,196.093
21,83.000,420,-3.1877980,55.9446590,36.0573,478.883,DONE,1,130.500,59.416
22,90.000,349,-3.1882300,55.9450180,7.5558,447.823,DONE,1,125.000,336.224
23,91.500,29,-3.1921260,55.9475730,12.2459,406.139,DONE,1,184.500,577.257
24,95.000,316,-3.1884610,55.9450850,20.8438,360.264,DONE,3,164.500,70.485
