lon1,lat1,lon2,lat2,highway,length_m
-3.1911343,55.9468608,-3.1912034,55.9468424,tertiary,4.76
-3.1912034,55.9468424,-3.19123,55.9468365,tertiary,1.78
-3.19123,55.9468365,-3.191258,55.9468343,tertiary,1.76
-3.191258,55.9468343,-3.1912859,55.9468363,tertiary,1.75
-3.1912859,55.9468363,-3.1913155,55.9468502,tertiary,2.41
-3.1913155,55.9468502,-3.1913421,55.9468705,tertiary,2.80
-3.1913421,55.9468705,-3.191806,55.9472844,tertiary,54.34
-3.191806,55.9472844,-3.1918236,55.9472953,tertiary,1.63
-3.1918236,55.9472953,-3.1918447,55.9473061,tertiary,1.78
-3.1918447,55.9473061,-3.1918725,55.9473177,tertiary,2.16
-3.1918725,55.9473177,-3.1921091,55.9474117,tertiary,18.06
-3.1921091,55.9474117,-3.1922916,55.9474694,tertiary,13.05
-3.1922916,55.9474694,-3.1926963,55.9475916,tertiary,28.63
-3.1926963,55.9475916,-3.1930265,55.9477064,tertiary,24.20
-3.1930265,55.9477064,-3.1932058,55.9477662,tertiary,12.99
-3.1932058,55.9477662,-3.193282,55.9478011,tertiary,6.13
-3.193282,55.9478011,-3.1933771,55.947838,tertiary,7.20
-3.1910881,55.9467879,-3.1911343,55.9468608,tertiary,8.60
-3.1909999,55.9462668,-3.1909784,55.9463201,tertiary_link,6.08
-3.1909784,55.9463201,-3.1909593,55.946351,tertiary_link,3.64
-3.1909593,55.946351,-3.1909357,55.9463832,tertiary_link,3.87
-3.1909357,55.9463832,-3.1909057,55.9464092,tertiary_link,3.44
-3.1909057,55.9464092,-3.190867,55.9464325,tertiary_link,3.54
-3.190867,55.9464325,-3.190813,55.9464476,tertiary_link,3.76
-3.190813,55.9464476,-3.1907474,55.9464561,tertiary_link,4.19
-3.1907474,55.9464561,-3.190699,55.9464588,tertiary_link,3.03
-3.190699,55.9464588,-3.1906495,55.9464583,tertiary_link,3.08
-3.1906745,55.94541,-3.1907785,55.9454061,tertiary_link,6.49
-3.1907785,55.9454061,-3.1908869,55.9454029,tertiary_link,6.76
-3.1908869,55.9454029,-3.1909558,55.9454059,tertiary_link,4.30
-3.1909558,55.9454059,-3.1910093,55.9454155,tertiary_link,3.50
-3.1910093,55.9454155,-3.1910457,55.9454264,tertiary_link,2.57
-3.1910457,55.9454264,-3.1910746,55.9454384,tertiary_link,2.24
-3.1910881,55.9467879,-3.190939,55.9466504,tertiary,17.89
-3.190939,55.9466504,-3.1908364,55.9465626,tertiary,11.67
-3.1908364,55.9465626,-3.1907738,55.9465246,tertiary,5.75
-3.1907738,55.9465246,-3.1906495,55.9464583,tertiary,10.69
-3.1909999,55.9462668,-3.1910132,55.9463299,tertiary,7.07
-3.1910132,55.9463299,-3.1910134,55.9463762,tertiary,5.15
-3.1910134,55.9463762,-3.1910124,55.9464611,tertiary,9.44
-3.1910124,55.9464611,-3.1910114,55.9465271,tertiary,7.34
-3.1910114,55.9465271,-3.19102,55.9465816,tertiary,6.08
-3.19102,55.9465816,-3.1910291,55.9466164,tertiary,3.91
-3.1910291,55.9466164,-3.1910386,55.9466491,tertiary,3.68
-3.1910386,55.9466491,-3.1910881,55.9467879,tertiary,15.74
-3.1892842,55.9459135,-3.1892474,55.945932,tertiary,3.08
-3.1892474,55.945932,-3.1892188,55.9459519,tertiary,2.84
-3.1892188,55.9459519,-3.18882,55.9462722,tertiary,43.42
-3.18882,55.9462722,-3.188735,55.9463337,tertiary,8.65
-3.1869614,55.9456435,-3.1869148,55.9455756,tertiary,8.09
-3.1869148,55.9455756,-3.1868773,55.945521,tertiary,6.50
-3.1868773,55.945521,-3.1868537,55.9454866,tertiary,4.10
-3.1868537,55.9454866,-3.1867745,55.9453713,tertiary,13.74
-3.1867745,55.9453713,-3.18662,55.9451464,tertiary,26.79
-3.18662,55.9451464,-3.1865212,55.9450147,tertiary,15.88
-3.1865212,55.9450147,-3.1864507,55.9449207,tertiary,11.34
-3.1864507,55.9449207,-3.1862862,55.9447015,tertiary,26.44
-3.1886139,55.9481139,-3.1884232,55.9477583,steps,41.29
-3.1916338,55.9452618,-3.1914284,55.945316,tertiary,14.14
-3.1914284,55.945316,-3.1913605,55.9453394,tertiary,4.96
-3.1913605,55.9453394,-3.1913159,55.9453601,tertiary,3.61
-3.1913159,55.9453601,-3.1912792,55.9453787,tertiary,3.08
-3.1912792,55.9453787,-3.1912526,55.9454018,tertiary,3.06
-3.1911599,55.9455907,-3.1910621,55.946004,tertiary,46.36
-3.1912832,55.9470926,-3.191179,55.9471151,unclassified,6.95
-3.191179,55.9471151,-3.1909927,55.9471581,unclassified,12.55
